dev.eff.hrs,hw,at,FP,co,prod,lnsize,lneff
17778,1,1,1364,10,13.033724,7.22,9.785717
8800,1,1,648,10,13.580247,6.47,9.082507
26670,1,1,1282,10,20.803432,7.16,10.191295
1330,1,1,176,10,7.556818,5.17,7.192934
14504,1,3,627,10,23.132376,6.44,9.58218
8498,1,1,1026,10,8.282651,6.93,9.047586
4830,1,5,561,10,8.609626,6.33,8.482602
3008,1,1,206,5,14.601942,5.33,8.009031
2525,1,1,128,5,19.726562,4.85,7.833996
4500,1,1,1814,3,2.480706,7.5,8.411833
1455,2,2,609,3,2.389163,6.41,7.282761
1230,3,1,321,3,3.831776,5.77,7.114769
7537,1,4,355,4,21.230986,5.87,8.92758
8710,3,1,1058,4,8.232514,6.96,9.072227
796,3,3,65,4,12.246154,4.17,6.679599
11023,3,1,374,4,29.473262,5.92,9.307739
6030,2,1,1584,2,3.806818,7.37,8.704502
1750,1,1,464,2,3.771552,6.14,7.467371
2240,1,5,528,2,4.242424,6.27,7.714231
1105,1,1,233,2,4.742489,5.45,7.007601
2915,1,5,577,2,5.051993,6.36,7.977625
2100,1,1,786,8,2.671756,6.67,7.649693
2100,1,2,232,8,9.051724,5.45,7.649693
580,1,1,235,8,2.468085,5.46,6.363028
460,1,5,196,8,2.346939,5.28,6.131226
6182,1,3,667,6,9.268366,6.5,8.729397
4713,1,3,1035,6,4.553623,6.94,8.45808
8700,1,1,1056,6,8.238636,6.96,9.071078
8095,1,1,1598,6,5.065707,7.38,8.999002
18690,1,4,1619,9,11.544163,7.39,9.835744
592,1,3,402,9,1.472637,6,6.383507
23000,1,4,1347,7,17.074981,7.21,10.043249
17031,1,1,983,7,17.325534,6.89,9.74279
17200,1,1,1719,7,10.005817,7.45,9.752665
10850,1,4,1148,7,9.45122,7.05,9.29192
18900,1,4,1049,7,18.017159,6.96,9.846917
14568,1,4,755,7,19.295364,6.63,9.586583
780,1,2,189,7,4.126984,5.24,6.659294
