Language numeric,Hardware numeric,Duration numeric,KSLOC numeric,AdjFP numeric,RAWFP numeric,EffortMM numeric
1,1,17,253.6,1217.100,1010.000,287.00
1,2,7,41.0,507.000,457.000,82.50
1,3,15,450.0,2.307,2.284,1107.31
1,1,18,214.4,789.000,881.000,86.90
1,2,13,450.0,1338.000,1583.000,336.30
1,4,5,50.0,421.300,411.000,84.00
2,4,5,43.0,99.900,97.000,23.00
1,2,11,200.0,993.000,998.000,130.00
1,1,14,289.0,1592.900,1554.000,116.00
1,1,5,39.0,240.000,250.000,72.00
1,1,13,254.2,1611.000,1603.000,259.00
1,5,31,128.6,789.000,724.000,230.70
1,6,20,161.4,690.900,705.000,157.00
1,1,26,164.8,1347.500,1375.000,246.90
3,1,14,60.2,1044.300,976.000,70.00
