algoritmo,mae,rsd,lsd,mbre,mmer,sa
Ridge,2140.7983782945475,9.801027678980024,1.273984482236716,34.18381499931601,0.4759119797471553,-1.1407983782945474
OLS,2147.451850255959,9.887117880985212,1.2896573976345942,34.53109401049063,0.5179686024829873,-1.1474518502559592
LASSO,2147.436855412046,9.885908158706213,1.2896921089177058,34.531958524314014,0.5179995665506659,-1.1474368554120458
ElasticNET,2154.2698544586788,8.972278945403867,1.2136828951696934,24.93371415949275,-3.655210774813143,-1.1542698544586782
LARS,2186.978130831762,9.209867386510988,1.278243609668133,39.2531571600176,0.4070367282339702,-1.1869781308317622
SVR,2956.3331740656176,14.420049562773158,1.4301566263085028,33.821972837568204,0.8212420601549681,-1.9563331740656176
CART,2476.915962962963,10.763950325639039,2.3775933860643987,90.98304694567769,56.41706226029374,-1.4769159629629631
ABE,2467.152622222223,10.148189726194234,1.2910060743795675,34.42547028178185,0.4990463977080381,-1.4671526222222222
Adaboost,2321.0807055918176,9.611404806374928,1.2721144937275926,33.38127187715992,0.4820049882605471,-1.3210807055918177
ANN,2332.8930618224317,9.982468428269216,1.301674168263436,29.33920284925432,0.5841072474856351,-1.3328930618224308
Bagging,2307.5906111111112,8.80822978727645,1.2607547411179567,40.50109125536121,0.4340159305361727,-1.3075906111111113
RF,2256.934039655724,8.976971989840226,1.2588730020507417,36.71700315044671,0.4343661739352017,-1.2569340396557238
GBM,2358.498906761082,11.831298705837456,1.2783013817012212,38.877952621046575,0.4578077294121629,-1.3584989067610818
Deep,4922.654963879031,19.532970440218822,14.422299843103426,194.01929709890888,193.79715675132994,-3.9226549638790313
